Name;Muscle Group;Detailed Muscle Group;Other Muscle Groups;Type;Mechanics;Equipment;;
Dumbbell Bicep Curl Step-Up;Biceps;Hamstrings;Upper Legs , Glutes;Strength;Isolation;Dumbbell;Intermediate;The step up single leg balance with bicep curl exercise is an advanced workout that combines a step up with a bicep curl to target the arm muscles. Steps : 1.) Place a box or bench in front of you and grab a dumbbell in each hand with a palms up grip. 2.) With one leg, step up on to the box and raise your other leg up (as if taking another step). 3.) At the top of the step curl your arms up bringing your biceps towards your shoulders, squeezing the bicep muscles. 4.) Return to the starting position and switch legs. 5.) Repeat for as many reps and sets as desired.
Dumbbell Bicep Curl to Squat;Biceps;Traps;Upper Legs , Glutes;Strength;Isolation;Dumbbell;Beginner;This exercise combines a squat with a curl to effectively work the entire body. This is an advanced exercise. Steps : 1.) Stand with your feet shoulder-width apart, your knees slightly bent and your abs drawn in. 2.) Grasp a dumbbell in each hand and curl your arms up to your shoulders. 3.) Bending at the waist, squat down as you lower your hands to the floor (the lower part of a curl). 4.) Pause for a moment and then return to the starting position. Tips : 1.) Contract your biceps as you curl your arms up.
Dumbbell Bicep Curl With Stork Stance;Biceps;Hamstrings;Glutes , Upper Legs;Strength;Isolation;Dumbbell;Intermediate;The dumbbell bicep curl with stork stance is an advanced exercise that requires excellent coordination and balance to target and isolate the bicep muscle. Steps : 1.) Start by holding a pair of dumbbells in each hand, palms facing up. 2.) Standing on one foot, extend your other foot back (see illustration) and extend your arms down so they are handing in front of your leg. 3.) While on one foot, curl your arms up contracting your biceps, squeezing the muscle as much as possible. 4.) Return to the starting position and switch legs. 5.) Repeat for as many reps and sets as desired.
Dumbbell Calf Raise;Lower Legs;Calves;null;Strength;Isolation;Dumbbell , Weight Plate;Intermediate;Steps : 1.) Grasp dumbbell in one hand to side and position toes and balls of feet on calf block with arches and heels extending off. 2.) Place hand on support for balance. 3.) Raise heels by extending ankles as high as possible. 4.) Lower heels by bending ankles until calves are stretched. 5.) Repeat for the desired amount of reps and sets.
Dumbbell Cobra (Stability Ball);Abs;null;Back , Shoulders;Strength;Isolation;Dumbbell;Intermediate;Steps : 1.) Start by lying in a prone position with an exercise ball under your sternum, keeping your legs straight behind you and your arms at your sides. Take hold of a light pair of dumbbells. 2.) Squeeze with your glutes, extend your arms back towards your legs, keep your feet straight and lift your torso off the ball in an elevated position. 3.) Hold this position for a few seconds and return back to the start. 4.) Repeat for as many reps and sets as desired.
Dumbbell Concentration Curl;Biceps;null;null;Strength;Isolation;Dumbbell;Beginner;The dumbbell concentration curl exercise limits you range of motion and concentrates on isolating the bicep muscle. Steps : 1.) Start by sitting on the end of a flat bench with your feet flat and your legs spread in a V position. 2.) Grab a dumbbell in one of your hands with a palms up grip, placing this arm in between your legs and up against your inner thigh just above your knee. 3.) Slowly curl the weight up towards your chest, squeezing your bicep on the motion upward and once you reach the top, hold the position for a count. 4.) Return back to the starting position and repeat for as many reps and sets as desired. 5.) Switch arms and repeat the same steps.
Dumbbell Concentration Curl on Stability Ball;Biceps;null;Abs;Strength;Isolation;Dumbbell;Intermediate;Steps : 1.) Start by sitting on an exercise ball with your feet spread apart, grasping a dumbbell in one hand and keeping in between your legs. 2.) Slowly lift the weight up towards your chest in a controlled movement, making sure that you isolate the bicep, hold for a 2 count and then lower back down to the starting position. 3.) Repeat for as many reps and sets as desired and then repeat with the other arm.
Dumbbell Cross Tricep Extension (Supine);Triceps;null;null;Strength;Isolation;Dumbbell;Intermediate;The dumbbell lying triceps extension across face exercise is an advanced exercise that targets the tricep muscles. Steps : 1.) Start by lying on a flat bench with your head at one end and your feet panted firmly on the floor on the other end. 2.) Grab a dumbbell in each hand, with a palms up grip, and raise it over your body. 3.) While keeping your upper arms and elbows still, lower the dumbbell slowly over your face bending only your elbow. 4.) Slowly raise the dumbbell back to the starting position and repeat with your other arm. 5.) Repeat for as many reps and sets as desired.
Dumbbell Cuban Press;Shoulders;Traps;null;Strength;Compound;Dumbbell;Intermediate;The cuban press exercise helps build strong shoulders and helps targets the rotator cuff muscles of your shoulders. Steps : 1.) Start by standing up straight with your feet shoulder-width apart gripping a dumbbell in each hand with an overhand grip. 2.) While holding the dumbbells in each hand, let your forearms hang down and bring your elbows up, keeping them at a 90 degree angle. 3.) While bringing your elbows up, rotate your shoulders so that your forearms go from facing down towards the ground to facing up towards the ceiling. 4.) Slowly rotate your shoulders so that your forearms point down at the ground again. 5.) Return back to the starting position and repeat for as many reps and sets as desired. Tips : 1.) You don't need to use a heavy weight with the cuban press exercise as that might result in injury. 2.) While performing this exercise keep your back straight and abs tight to help balance and brace your body.
Dumbbell Decline Bench Lunge;Upper Legs;null;Glutes , Lower Legs;Strength;Compound;Dumbbell;Beginner;Steps : 1.) Start by setting up a decline bench in front of you, placing your right foot on the bench keeping your leg extended and holding a dumbbell at your sides. 2.) Then slowly, while keeping your balance, lunge forward and squat down so that you feel a stretch in your quads, hold for a count then return back up to the starting position. 3.) Repeat for as many reps and sets as desired.
Dumbbell Decline Bench Press;Chest;Lower Chest;Triceps , Shoulders;Strength;Isolation;Dumbbell;Intermediate;The dumbbell decline bench press targets your lower chest and requires more stability in your muscles more than the standard dumbbell bench press. Steps : 1.) Start by lying on a decline bench so that your head is lower than your feet and having a grip on a pair of dumbbells with an overhand grip with your palms facing towards your feet. 2.) Hold the dumbbells directly above your chest so that their inner edges are touching. 2.) Lift the dumbbells up and hold them directly above your chest so that they are touching. 3.) Slowly lower the weights until they are inline with the top of your chest, squeezing your muscles and hold for a count. 4.) Then, raise them straight up to the starting position. Tips : 1.) It is important during the dumbbell bench press to focus on stabilizing your muscles. 2.) Alternate between the dumbbell and barbell versions of this exercise get benefits from both.
Dumbbell Decline Fly;Chest;Lower Chest;Shoulders;Strength;Isolation;Dumbbell;Intermediate;The dumbbell decline flys target the inner part of your lower chest as well as stretch your chest and biceps. Steps : 1.) Start by lying flat on a decline bench with your head positioned lower than your feet. 2.) Hold a dumbbell in each hand keeping your elbows slightly bent and arms out at your sides facing straight down towards the ground so that you feel a stretch in your chest. 3.) Push the dumbbells up above your chest, squeezing your muscles and hold this position for a count. 4.) Return the dumbbells back to their starting position and repeat for as many reps and sets as desired.
Dumbbell Decline One-Arm Fly;Chest;null;null;Strength;Isolation;Dumbbell;Intermediate;Steps : 1.) Start off by laying on an decline bench, with your feet flat on the floor or secured in foot rests, one arm holding a dumbbell and arm extended over your chest. 2.) Keeping your elbow slightly bent, lower the weight down until it is about chest level and hold. 3.) Return back to the starting position and repeat for as many reps and sets as desired.
Dumbbell Decline One-Arm Hammer Press;Chest;null;null;Strength;Isolation;Dumbbell;Intermediate;Steps : 1.) Start by laying on a decline bench with your feet flat on the floor or secured under foot holders, one arm holding a dumbbell in a hammer grip position and arm extended above your chest. 2.) Slowly lower your arm to shoulder level, maintaining a 90-degree angle in your arm until you feel a tension in your chest. 3.) Hold this position for a count then return back to the starting position. 4.) Repeat for as many reps and sets as desired.
Dumbbell Decline Press;Chest;null;null;Strength;Isolation;Dumbbell;Intermediate;Steps : 1.) Start off by laying down on an decline bench with your feet flat on the floor or in foot holder, holding a dumbbell in both hands with arms extended straight over your chest. 2.) Then slowly lower your arms until they at about shoulder, keeping a 90-degree angle in your arms until you feel tension in your chest. 3.) Hold this position for a count then return back to the starting position. 4.) Repeat for as many reps and sets as desired.
Dumbbell Decline Press (Stability Ball);Chest;null;Abs;Strength;Isolation;Dumbbell;Intermediate;Steps : 1.) Start by sitting on an exercise ball close to a bench with a dumbbell in both hands 2.) Slowly roll down making sure that your shoulders are lower than your hips and your feet are planted firmly on the floor in front of you. 3.) Hook your feet right underneath the bench to give yourself balance and support. 4.) Extend the dumbbells above your chest then slowly lower them down in a bent arm motion so that you have a full extension of your chest. 5.) Return back to the starting position and repeat for as many reps and sets desired. Tips : 1.) This exercise requires balance and either a spotter, somebody to hold your legs or a bench to keep yourself secure from falling back and injuring your head
Dumbbell Decline Tricep Extension;Triceps;null;null;Strength;Isolation;Dumbbell;Intermediate;The dumbbell decline triceps extension exercise combines a decline bench and dumbbells to target the tricep muscle. Steps : 1.) Start off by lying face up (back flat) on a decline bench with a dumbbell in each hand. 2.) Extend your arms so they are perpendicular to your chest, and keeping your elbows in one place, lower your hands so the dumbbells are lowered near your head. 3.) Slowly return to the starting position. 4.) Repeat for as many reps and sets as desired.
Dumbbell Deep Push-Up;Chest;null;Shoulders;Strength;Compound;Dumbbell;Intermediate;Steps : 1.) Start by getting yourself into a pushup position with your hands holding onto dumbbells on the floor in front of you. 2.) Keep your arms at shoulder width distance and legs extended behind you with toes on the floor. 3.) Slowly lower your body down towards the floor as far as possible, so that you feel a deep stretch in your chest, then hold for a count. 4.) Return back to the starting position. 5.) Repeat for as many reps and sets as desired.
Dumbbell Deltoid Raise;Shoulders;Traps;null;Strength;Isolation;Dumbbell;Intermediate;Steps : 1.) To begin this exercise: start off by holding two dumbbells in front of your pelvis with your palms facing your thighs. 2.) Take the dumbbells and raise them in a semicircular motion so that they are overhead. 3.) Return back to the starting position. 4.) Repeat this exercise for as many repetitions as needed.
Dumbbell Dublin Press;Shoulders;null;Triceps;Strength;Compound;Dumbbell;Intermediate;Steps : 1.) Start by standing up straight, holding a dumbbell in each arm at shoulder level next to your head. 2.) Slowly extend your arms overhead, squeezing in your shoulder and immediately return back to the starting position. 3.) Repeat for as many reps and sets as desired.
Dumbbell External Rotation;Shoulders;null;null;Strength;Isolation;Dumbbell;Beginner;Steps : 1.) Start by laying on your side on a flat bench with one arm holding a dumbbell against your chest and the other arm extended in front of you holding to the bottom of the bench. 2.) Bend your elbow that is holding the dumbbell so that it is in a 90 degree angle then while keeping this position. 3.) Slowly rotate your forearm externally so that the dumbbell is lifted up from the chest position and is perpendicular to the floor. 4.) Hold onto this position for a count then return back to the starting position. 5.) Repeat for as many reps and sets as desired.
Dumbbell Flexor Incline Curl;Biceps;Delts;Forearm;Strength;Isolation;Dumbbell;Beginner;The dumbbell flexor incline curl exercise keeps stress on the biceps and helps strengthen the muscles. Steps : 1.) Start by sitting on an incline bench with your feet firmly on the floor in front of you and grabbing a dumbbell with your palms facing up. 2.) Bring your arms down to your sides, keeping your wrists as straight as possible, raise your wrists to your shoulders. 3.) Concentrate on squeezing your biceps as you raise your arms. 4.) Repeat for as many reps and sets as desired.
Dumbbell Fly;Chest;Inner Chest;null;Strength;Isolation;Dumbbell;Beginner;The dumbbell fly exercise targets your pecs with more focus than the standard dumbbell bench press as well as focusing upon the inner part fo your pecs. Steps : 1.) Start off lying on a flat bench with your arms out to your sides holding a dumbbell in each hand at shoulder height. 2.) Push the dumbbells up from their position using your chest and bring your arms up, without using them for lifting, until the dumbbells are directly above your chest. 3.) Once in the top position, your elbows should be facing outwards and palms facing inwards, squeeze your chest muscles and hold for a count. 4.) Return back to the starting position and repeat for as many reps and sets as desired. Tips : 1.) It is important to concentrate on using your chest to perform this exercise.
Dumbbell Fly (Stability Ball);Chest;null;null;Strength;Isolation;Dumbbell;Intermediate;Steps : 1.) Start by sitting on an exercise ball with a dumbbell in each hand. 2.) Slowly roll down making sure that your head and shoulders are on the ball and your feet are planted firmly on the floor in front of you. 3.) Hold the dumbbell straight over your chest then let them lower down, bending the elbows slightly so that they are just above shoulder level. 4.) Return back to the starting position and repeat for as many reps and sets desired.
Dumbbell Forward Lunge with Bicep Curl;Biceps;Hamstrings;Upper Legs , Glutes;Strength;Isolation;Dumbbell;Beginner;The forward lunge with bicep curl requires balance and coordination and also targets the bicep muscles. Steps : 1.) Grasp a dumbbell in each hand with your palms facing up and stand up straight with your feet together, your back straight and your abs drawn in. 2.) Allow your arms to extend down fully to the sides of your body. 3.) While keeping your body straight, take a step forward then bend your waist and your knee into a lunge. 4.) As you go into the lunge curl your arms up towards your shoulders contracting your biceps. 5.) Return to starting position and switch legs. 6.) Repeat for as many reps and sets as desired. Tips : 1.) Refrain from dropping your leg and knee to the ground.
Dumbbell French Press (Stability Ball);Triceps;null;Abs , Shoulders;Strength;Compound;Exercise Ball;Intermediate;Steps : 1.) Start by sitting on an exercise ball with a dumbbell in each hand. 2.) Slowly roll down making sure that your head and shoulders are on the ball and your feet are planted firmly on the floor in front of you. 3.) Extend the dumbbell behind your head with bent elbows and hold. 4.) Then push the weight to the ceiling until your arm is fully extended then return the dumbbell back to the starting position. 5.) Repeat for as many reps and sets desired and switch with other arm.
Dumbbell Front Incline Raise;Shoulders;Traps;null;Strength;Isolation;Dumbbell;Beginner;Steps : 1.) To begin this exercise: start off by sitting with your back flat on an incline bench holding a dumbbell in each hand. 2.) Push your arms out in front of you with your palms facing out above your thighs. 3.) Taking the dumbbells, raise them straight up until they are above your shoulders holding onto this position for a few seconds, squeezing your shoulders tightly, then return back to the starting position. 4.) Repeat this exercise for as many repetitions as needed
Dumbbell Front Raise;Shoulders;Traps;null;Strength;Isolation;Dumbbell;Beginner;Steps : 1.) To begin this exercise: start off standing up straight holding dumbbells in each hand resting at your pelvis. 2.) Lift the dumbbells up and out so that they are extended in front of your shoulders, at your shoulder level, holding onto this position for a few seconds. 3.) Return back to the starting position. 4.) Repeat this exercise for as many repetitions as needed
Dumbbell Front Raise (Hammer);Shoulders;null;null;Strength;Isolation;Dumbbell;Beginner;Steps : 1.) Start by sitting on a flat bench holding a dumbbell in each hand with a neutral hammer grip at your sides. 2.) Slowly elevate both dumbbells up and in front of you towards shoulder level, squeezing your shoulder muscles on the way up. 3.) Hold onto this position for a count then return back to the starting position. 4.) Repeat for as many reps and sets as desired.
Dumbbell Hammer Curl;Biceps;null;null;Strength;Isolation;Dumbbell;Beginner;The gammer curl exercise uses a hammering (up and down) motion to isolate the bicep and increase muscle size. Steps : 1.) Start by standing with your feet shoulder-width apart, keeping your knees slightly bent and your abs tight in. 2.) Grab a dumbbell in each hand with your palms facing in, extend your arms so that they are at the sides of your body and keep your elbows locked as this will be your starting position. 3.) Slowly lift your arms up in an arc towards your shoulders, isolating your biceps and continue until you reach the top position. 4.) Hold for a count then return back to the starting position and repeat for as many reps and sets as desired. Tips : 1.) Refrain from turning your wrists during this exercise.
Dumbbell Hammer Curl (Cross Body);Biceps;null;null;Strength;Isolation;Dumbbell;Beginner;The cross body hammer curl exercise targets the biceps using a cross motion rather than the standard curl. Steps : 1.) Start by standing up straight and grabbing a dumbbell in each hand with palms facing inward. 2.) While keeping your palms facing in, curl the dumbbell up towards the opposite shoulder, isolating the bicep and squeezing the muscle. 3.) Continue bringing the dumbbell up to touch the shoulder until you feel a stretch in your bicep and hold for a count. 4.) Return back to the starting position and repeat for as many reps and sets as desired.
Dumbbell Hammer Curl on Stability Ball;Biceps;null;null;Strength;Isolation;Dumbbell;Intermediate;Steps : 1.) Begin by sitting on an exercise ball, sitting up straight, feet flat on the floor in front of you and holding dumbbells in each hand to your sides. 2.) Slowly raise both arms towards your shoulders, isolating the bicep, until you feel a tension. 3.) Hold for a count then return back to the starting position. 4.) Repeat for as many reps and sets as desired.
Dumbbell Hammer Curl on Stability Ball;Biceps;null;Abs , Shoulders;Strength;Isolation;Dumbbell;Intermediate;Steps : 1.) Start by sitting on an exercise ball with dumbbell in each hand rested at your sides. 2.) With both of your arms raise the weights up towards your shoulder, keeping the elbow close to your body and squeezing the bicep. 3.) Return back to the starting position in a slowed and controlled motion. 4.) Repeat for as many reps and sets desired.
Dumbbell Hammer Shoulder Press;Shoulders;Traps;Triceps;Strength;Compound;Dumbbell;Intermediate;Steps : 1.) To begin this exercise: start off by taking a dumbbell in each hand and keep your arms extended down with your palms facing inward. 2.) Take the dumbbells and slowly lift them until they are extended overhead. 3.) Hold onto this position for a few seconds then lower the weights down into a 90-degree push position. 4.) Repeat this exercise for as many repetitions as needed
Dumbbell Hamstring Curl;Upper Legs;null;null;Strength;Isolation;Dumbbell;Intermediate;Steps : 1.) Start by setting up an elevated flat bench on either a block or step and making sure that your resting point is secure. 2.) Lie face down on the bench, placing a dumbbell at the lower end of the bench so that you will be able to grab it in between your feet, and that your knees are at the edge of the bench. 3.) Pick the dumbbell up off of the floor with your feet, keeping your legs fully extended, and slowly curl the dumbbell up towards your buttocks by bending your knees. 4.) Hold for a count when you feel a stretch in your hamstrings then return back to the starting position. 5.) Repeat for as many reps and sets as desired.
Dumbbell High Curl;Biceps;null;Shoulders;Strength;Compound;Dumbbell;Beginner;"Steps : 1.) Stand up straight with a dumbbell in each hand, keeping feet about shoulder width apart, bringing your arms up to shoulder level and extend out in a ""T"" shape. 2.) Then slowly curl your biceps so that the dumbbells are brought to your head, isolating the muscle, and keeping your arms at shoulder level during the entire motion. 3.) Hold this position for a count then return back to the starting position. 4.) Repeat for as many reps and sets as desired."
Dumbbell Incline Bench Curl;Biceps;null;null;Strength;Isolation;Bench;Beginner;Steps : 1.) Start by setting up an incline bench to either a 30 or 45-degree angle and then position yourself behind the bench, with a dumbbell in one hand rested over the bench and knees bent on the floor. 2.) Hold the dumbbell in an underhand grip with your palms facing up, then slowly lift the dumbbell up towards your shoulder, isolating the bicep and hold for a count. 3.) Return back to the starting position. 4.) Repeat for as many reps and sets as desired.
Dumbbell Incline Bench Hammer Curl;Biceps;null;Forearm;Strength;Isolation;Bench;Beginner;Steps : 1.) Start by setting up an incline bench to either a 30 or 45 degree angle and then position yourself behind the bench, with a dumbbell in one hand rested over the bench and knees bent on the floor. 2.) Hold the dumbbell in a neutral grip with your palms facing inward, then slowly lift the dumbbell up towards your shoulder, isolating the bicep and hold for a count. 3.) Return back to the starting position. 4.) Repeat for as many reps and sets as desired.
Dumbbell Incline Bench Press;Chest;Upper Chest;Shoulders , Triceps;Strength;Compound;Dumbbell;Beginner;This is a variation of the bench press exercise that utilizes dumbbells in order to help build a strong upper chest. Steps : 1.) Start off by setting up a bench on a 30 degree incline and then place dumbbells by your feet. 2.) Take the dumbbells and bring them to the starting position which is just above your chest, keeping your elbows bent so that your forearms are facing upward. 3.) Then push the dumbbells up in a straight motion, focusing on squeezing your chest and targeting those muscles on the motion upward. 4.) Raise the dumbbells up as high as you can without locking your elbows and hold for a count. 5.) Return back down slowly to the starting position and repeat for as many reps and sets as desired. Tips : 1.) It is important to use a weight that you can manage so that you are able to get into the starting position easier for this exercise. 2.) You should have a spotter to help you with this exercise.
Dumbbell Incline Bench Press (Hammer Grip);Chest;Upper Chest;Shoulders , Triceps;Strength;Compound;Dumbbell;Beginner;Steps : 1.) Start by positing yourself in front of a free standing incline bench, grabbing a dumbbell in each hand with your palms facing in towards one another. 2.) Sit down on the edge of the bench and lean back holding the dumbbell in each hand and rested upon your thighs. 3.) Press the dumbbells up in a explosive motion and once at the top position hold for a count. 4.) Squeeze your chest muscles and then return back to the starting position. 5.) Repeat for as many reps and sets as desired.
Dumbbell Incline Bench Press (Palms in);Chest;null;Shoulders;Strength;Compound;Dumbbell;Beginner;Steps : 1.) Start by laying with your back flat on a incline bench with your feet rested on the floor and holding a dumbbell in each hand. 2.) Keep the dumbbells rested at your chest as you get yourself into position, holding onto them with a neutral grip. 3.) Extend your hands above your chest and squeeze so that you feel a stretch in your pecs, then hold for a count. 4.) Then slowly return the dumbbells at the sides of your chest. 5.) Repeat for as many reps and sets as desired.
Dumbbell Incline Bench Row;Back;null;Biceps;Strength;Compound;Dumbbell;Intermediate;Steps : 1.) Start by setting up an incline bench to around 35 or 45 degrees and laying down on it with your chest flat on the bench, holding a dumbbell in each hand extended down towards the floor. 2.) Slowly pull the dumbbells up towards your chest, squeezing your back, and hold for a count. 3.) Return back to the starting position. 4.) Repeat for as many reps and sets as desired.
Dumbbell Incline Bicep Curl (Prone);Biceps;null;Forearm;Strength;Isolation;Dumbbell;Intermediate;The dumbbell prone incline biceps curl exercise uses an incline bench to target the bicep muscles and build bigger arms. Steps : 1.) Start by adjusting an incline bench to a 45-degree angle. 2.) Grasp dumbbells in each hand and lean face down against the bench, with your feet resting on the floor for support. 3.) Allow your arms to hang down at your sides. 4.) Keeping your elbow straight, raise the dumbbells up towards your head, contracting your biceps. 5.) In a controlled manner lower the weight and repeat.
Dumbbell Incline Curl;Biceps;null;null;Strength;Isolation;Dumbbell;Beginner;The incline dumbbell curl exercise uses an incline bench to change your body's position as you perform the bicep curl exercise. Steps : 1.) Start by taking an incline bench and adjusting it to a 45-degree incline angle, then grabbing dumbbells in each and sitting down with your back against he bench with your feet rested on the floor in front of you. 2.) Once in position let your arms hang down at your sides and while keeping your elbows straight, raise the dumbbells up towards your head, squeezing your biceps on the way up. 3.) In the top position, hold for a count and then return back to the starting position. 4.) Return back to the starting position and repeat for as many reps and sets as desired.
Dumbbell Incline Fly;Chest;Upper Chest;Shoulders;Strength;Compound;Dumbbell;Beginner;The dumbbell incline fly exercise is a chest sculpting exercise that helps build a bigger and stronger chest. Steps : 1.) Start by lying on an incline bench set to 45-degrees and holding a dumbbell in each hand. 2.) Lift the dumbbells up and over your chest, extending your arms fully as this will be your starting position. 3.) While keeping a slight bend in your elbows, slowly bring the dumbbells towards each other in an arc motion, squeezing your chest muscles in the process. 4.) Hold this position for a count then slowly return back to the starting position. 5.) Repeat for as many reps and sets as desired.
Dumbbell Incline Fly (Stability Ball);Chest;null;null;Strength;Isolation;Dumbbell;Intermediate;Steps : 1.) Start off by laying on an exercise ball in an incline position, with your feet flat on the floor, both hands holding a dumbbells and arms extended over your chest. 2.) Keeping your elbow slightly bent, lower the weights down until they are about chest level and hold. 3.) Return back to the starting position and repeat for as many reps and sets as desired.
Dumbbell Incline Fly With A Twist;Chest;Upper Chest;Shoulders;Strength;Compound;Dumbbell , Bench;Intermediate;The dumbbell incline fly with a twist exercise is an advanced exercise for the chest and is very good for sculpting and defining the pectoral muscles when used along with the bench press. Steps : 1.) Start off lying on an incline bench set to a 45-degree angle with a dumbbell in each hand, keeping the dumbbells out to the side of your chest and parallel to the floor as you would with a regular fly. 2.) Slowly raise the dumbbells up and over your chest in an arc motion until you feel a stretch in your muscles. 3.) Once at the top position, turn your pinky fingers in so that they are facing each other and hold for a count. 4.) Slowly return back to the starting position and repeat for as many reps and sets as desired.
Dumbbell Incline Hammer Curl;Biceps;null;null;Strength;Isolation;Dumbbell;Beginner;Steps : 1.) Start by sitting on an incline bench with a dumbbell in each hand, arms to your side, and with your feet planted firmly in front of you. 2.) Then flex at your elbows bringing the weights up to your shoulders, isolating the bicep, until you feel tension on the muscle. 3.) Hold for a count then return back to the starting position and repeat for as many reps and sets as desired.
Dumbbell Incline Hammer Curl (Prone);Biceps;null;Forearm;Strength;Isolation;Dumbbell;Beginner;Steps : 1.) Begin by taking an adjustable bench and elevating it to around 30-degrees. With your legs extended behind you and toes on the floor, have your arms in front of you with a dumbbell in each hand. 2.) Hold the dumbbells in a neutral grip and let them hang towards the ground. 3.) Slowly elevate the weights up towards your shoulders, isolating your biceps, and hold for a count. 4.) Return back to the starting position. 5.) Repeat for as many reps and sets as desired.
Dumbbell Incline Hammer Press (Stability Ball);Chest;null;null;Strength;Isolation;Dumbbell;Intermediate;Steps : 1.) Begin by laying down on an exercise ball in an incline position with your feet flat on the floor and holding a dumbbell in both hands in a hammer grip with arms extended straight over your chest. 2.) Then slowly lower your arms until they are at about shoulder, keeping a 90-degree angle in your elbows until you feel tension in your chest. 3.) Hold this position for a count then return back to the starting position. 4.) Repeat for as many reps and sets as desired.
Dumbbell Incline One Arm Hammer Press;Chest;null;null;Strength;Isolation;Dumbbell , Bench;Intermediate;Steps : 1.) Start off by laying down on an incline bench with your feet flat on the floor and holding a dumbbell in one hand in a hammer grip position with arm extended straight over your chest. 2.) Then slowly lower your arm until it is at about shoulder, keeping a 90-degree angle in your arm until you feel tension in your chest. 3.) Hold this position for a count then return back to the starting position. 4.) Repeat for as many reps and sets as desired.
Dumbbell Incline One-Arm Fly;Chest;null;null;Strength;Isolation;Dumbbell;Intermediate;Steps : 1.) Start off by laying on an incline bench, with your feet flat on the floor, one arm holding a dumbbell and arm extended over your chest. 2.) Keeping your elbow slightly bent, lower the weight down until it is about chest level and hold. 3.) Return back to the starting position and repeat for as many reps and sets as desired.
Dumbbell Incline One-Arm Fly on Stability Ball;Chest;null;null;Strength;Isolation;Dumbbell;Intermediate;Steps : 1.) Start by laying on an exercise ball in an incline position, with your feet flat on the floor, one arm holding a dumbbell and arm extended over your chest. 2.) Keeping your elbow slightly bent, lower the weight down until it is about chest level and hold. 3.) Return back to the starting position and repeat for as many reps and sets as desired.
Dumbbell Incline One-Arm Hammer Press (Stability Ball);Chest;null;null;Strength;Isolation;Dumbbell;Intermediate;Steps : 1.) Start by laying down on an incline bench with your feet flat on the floor and holding a dumbbell in one hand in a hammer grip position with arm extended straight over your chest. 2.) Then slowly lower your arm until it is at about shoulder level, keeping a 90-degree angle in your arm until you feel tension in your chest. 3.) Hold this position for a count then return back to the starting position. 4.) Repeat for as many reps and sets as desired.
Dumbbell Incline One-Arm Press;Chest;null;null;Strength;Isolation;Dumbbell;Intermediate;Steps : 1.) Start off by laying down on an incline bench with your feet flat on the floor and holding a dumbbell in one hand with arm extended straight over your chest. 2.) Then slowly lower your arm until it is at about shoulder, keeping a 90-degree angle in your arm until you feel tension in your chest. 3.) Hold this position for a count then return back to the starting position. 4.) Repeat for as many reps and sets as desired.
Dumbbell Incline One-Arm Press (Stability Ball);Chest;null;null;Strength;Isolation;Dumbbell;Intermediate;Steps : 1.) Start by laying down on an exercise ball in an incline position with your feet flat on the floor and holding a dumbbell in one hand with arm extended straight over your chest. 2.) Then slowly lower your arm until it is at about shoulder level, keeping a 90-degree angle in your arm until you feel tension in your chest. 3.) Hold this position for a count then return back to the starting position. 4.) Repeat for as many reps and sets as desired.
Dumbbell Incline Press on Stability Ball;Chest;null;null;Strength;Isolation;Dumbbell;Intermediate;Steps : 1.) Start off by laying down on an exercise ball in an incline position with your feet flat on the floor and holding a dumbbell in both hands with arms extended straight over your chest. 2.) Then slowly lower your arms until they are at about shoulder, keeping a 90-degree angle in your arms until you feel tension in your chest. 3.) Hold this position for a count then return back to the starting position. 4.) Repeat for as many reps and sets as desired.
Dumbbell Incline Press on Stability Ball;Chest;null;Abs;Strength;Isolation;Dumbbell;Intermediate;Steps : 1.) Start by sitting on an exercise ball with a dumbbell in each hand. 2.) Slowly roll down making sure that your head and shoulders are on the ball and your feet are planted firmly on the floor in front of you. 3.) Lift your hips up so that they are lower than your knees and shoulders, so that you are in an incline position. 4.) Take the dumbbells so that they are positioned over your chest with palms facing away from you and then lower them so that your arms are in a bent position. 5.) Stop when your arms are in the same level as your shoulders, hold for a count and then return back to the starting position. 6.) Repeat for as many reps and sets as desired.
Dumbbell Incline Row (Reverse Grip);Back;null;null;Strength;Compound;Dumbbell;Intermediate;Steps : 1.) Start by setting up an incline bench to around 35 or 45 degrees and laying down on it with your chest flat on the bench 2.) Hold a dumbbell in each hand, with a reverse grip, extended down towards the floor. 3.) Slowly pull the dumbbells up towards your chest, squeezing your back, and hold for a count. 4.) Return back to the starting position. 5.) Repeat for as many reps and sets as desired.
Dumbbell Incline Shoulder Raise;Shoulders;Traps;Triceps;Strength;Isolation;Dumbbell;Beginner;Steps : 1.) To begin this exercise: start off by sitting with your back flat on an incline bench holding a dumbbell in each hand. 2.) With the driving force of your legs, kick the weights above your shoulders and keep them overhead above your chest. 3.) Using your shoulders and keeping your arms straight, lift up your dumbbells and push them as high as you can without leaving the bench. 4.) Hold the position for a few seconds then return back to starting position. 5.) Repeat this exercise for as many repetitions as needed
Dumbbell Incline Tricep Extension;Triceps;null;null;Strength;Isolation;Dumbbell;Beginner;Steps : 1.) Start by sitting your back flat on an incline bench with your feet on the floor in front of you, holding a dumbbell on your legs. 2.) Elevate the weight above your head as this will be your starting position. 3.) Slowly lower the dumbbell behind your head as far as possible by extending both arms and squeeze your triceps. 4.) Hold for a count then return back to the starting position. 5.) Repeat for as many reps and sets as desired.
